,action,frame_number,input number,x_inputs,y_inputs
0,actions,1,1,46.162802161378046,530.6540848152143
1,actions,1,2,34.028062226156806,535.6260018465514
2,actions,1,3,31.881405974707903,517.0682680261692
3,actions,1,4,39.173848183289486,539.5064063804983
4,actions,1,5,30.650603070810927,488.40206834415017
5,actions,1,6,112.61200268120017,521.9041033364616
6,actions,1,7,93.92755678216498,456.5535010526865
7,actions,1,8,189.05883879619114,527.3750583844089
8,actions,1,9,175.66398575327165,429.3368163246885
9,actions,1,10,250.54215768678253,564.8551427760475
10,actions,1,11,245.9694542587688,469.8701949427547
11,actions,1,12,261.9790323410261,498.9512720936391
12,actions,1,13,247.26784454255147,465.76828444720906
13,actions,1,14,373.92641582545616,510.13961010361567
14,actions,1,15,357.04565234990787,506.4314443337625
15,actions,1,16,470.73514038448167,454.45477526012667
16,actions,1,17,467.5460000420183,524.8494626790749
17,actions,2,1,41.73456356150461,537.0147446800181
18,actions,2,2,32.945940147875326,542.6371391313379
19,actions,2,3,29.636450747707833,524.3735271679001
20,actions,2,4,39.01275068786803,548.110133470565
21,actions,2,5,27.36968314966038,495.9327204986776
22,actions,2,6,110.26356909324579,535.5370026654284
23,actions,2,7,91.4105943190238,466.55133899442336
24,actions,2,8,193.18806951053065,538.4276038766703
25,actions,2,9,180.7507908308895,432.1607831857252
26,actions,2,10,245.82649038524232,571.7421826063127
27,actions,2,11,246.8643835956336,479.3120834928313
28,actions,2,12,254.20989718564542,509.9199759774325
29,actions,2,13,248.92722562795578,470.85475454351683
30,actions,2,14,378.45338408246596,518.9055910514032
31,actions,2,15,370.43977052592385,493.61980072905067
32,actions,2,16,484.4169202402721,548.9711402944042
33,actions,2,17,473.2898325028689,527.4951960302408
34,actions,3,1,41.663677770235424,543.6776519299616
35,actions,3,2,28.19332632183675,550.5860047882012
36,actions,3,3,26.70247935399811,533.1130797932036
37,actions,3,4,34.26860005636244,553.7026562934994
38,actions,3,5,21.95266389705307,500.5340834449819
39,actions,3,6,108.99659742587399,536.5295736402074
40,actions,3,7,89.83143701751438,475.2850117502871
