,action,frame_number,input number,x_inputs,y_inputs
0,exercise,1,1,0.0,0.0
1,exercise,1,2,0.0,0.0
2,exercise,1,3,0.0,0.0
3,exercise,1,4,0.0,0.0
4,exercise,1,5,0.0,0.0
5,exercise,1,6,0.0,0.0
6,exercise,1,7,0.0,0.0
7,exercise,1,8,0.0,0.0
8,exercise,1,9,0.0,0.0
9,exercise,1,10,0.0,0.0
10,exercise,1,11,0.0,0.0
11,exercise,1,12,0.0,0.0
12,exercise,1,13,0.0,0.0
13,exercise,1,14,0.0,0.0
14,exercise,1,15,0.0,0.0
15,exercise,1,16,0.0,0.0
16,exercise,1,17,0.0,0.0
17,exercise,2,1,0.0,0.0
18,exercise,2,2,0.0,0.0
19,exercise,2,3,0.0,0.0
20,exercise,2,4,0.0,0.0
21,exercise,2,5,0.0,0.0
22,exercise,2,6,0.0,0.0
23,exercise,2,7,0.0,0.0
24,exercise,2,8,0.0,0.0
25,exercise,2,9,0.0,0.0
26,exercise,2,10,0.0,0.0
27,exercise,2,11,0.0,0.0
28,exercise,2,12,0.0,0.0
29,exercise,2,13,0.0,0.0
30,exercise,2,14,0.0,0.0
31,exercise,2,15,0.0,0.0
32,exercise,2,16,0.0,0.0
33,exercise,2,17,0.0,0.0
34,exercise,3,1,0.0,0.0
35,exercise,3,2,0.0,0.0
36,exercise,3,3,0.0,0.0
37,exercise,3,4,0.0,0.0
38,exercise,3,5,0.0,0.0
39,exercise,3,6,0.0,0.0
40,exercise,3,7,0.0,0.0
41,exercise,3,8,0.0,0.0
42,exercise,3,9,0.0,0.0
43,exercise,3,10,0.0,0.0
44,exercise,3,11,0.0,0.0
45,exercise,3,12,0.0,0.0
46,exercise,3,13,0.0,0.0
47,exercise,3,14,0.0,0.0
48,exercise,3,15,0.0,0.0
49,exercise,3,16,0.0,0.0
50,exercise,3,17,0.0,0.0
51,exercise,4,1,0.0,0.0
52,exercise,4,2,0.0,0.0
53,exercise,4,3,0.0,0.0
54,exercise,4,4,0.0,0.0
55,exercise,4,5,0.0,0.0
56,exercise,4,6,0.0,0.0
57,exercise,4,7,0.0,0.0
58,exercise,4,8,0.0,0.0
59,exercise,4,9,0.0,0.0
60,exercise,4,10,0.0,0.0
61,exercise,4,11,0.0,0.0
62,exercise,4,12,0.0,0.0
63,exercise,4,13,0.0,0.0
64,exercise,4,14,0.0,0.0
65,exercise,4,15,0.0,0.0
66,exercise,4,16,0.0,0.0
67,exercise,4,17,0.0,0.0
68,exercise,5,1,0.0,0.0
69,exercise,5,2,0.0,0.0
70,exercise,5,3,0.0,0.0
71,exercise,5,4,0.0,0.0
72,exercise,5,5,0.0,0.0
73,exercise,5,6,0.0,0.0
74,exercise,5,7,0.0,0.0
75,exercise,5,8,0.0,0.0
76,exercise,5,9,0.0,0.0
77,exercise,5,10,0.0,0.0
78,exercise,5,11,0.0,0.0
79,exercise,5,12,0.0,0.0
80,exercise,5,13,0.0,0.0
81,exercise,5,14,0.0,0.0
82,exercise,5,15,0.0,0.0
83,exercise,5,16,0.0,0.0
84,exercise,5,17,0.0,0.0
85,exercise,6,1,0.0,0.0
86,exercise,6,2,0.0,0.0
87,exercise,6,3,0.0,0.0
88,exercise,6,4,0.0,0.0
89,exercise,6,5,0.0,0.0
90,exercise,6,6,0.0,0.0
91,exercise,6,7,0.0,0.0
92,exercise,6,8,0.0,0.0
93,exercise,6,9,0.0,0.0
94,exercise,6,10,0.0,0.0
95,exercise,6,11,0.0,0.0
96,exercise,6,12,0.0,0.0
97,exercise,6,13,0.0,0.0
98,exercise,6,14,0.0,0.0
99,exercise,6,15,0.0,0.0
100,exercise,6,16,0.0,0.0
101,exercise,6,17,0.0,0.0
102,exercise,7,1,-8.370240661439981,322.7851833691841
103,exercise,7,2,-6.5807799840185695,320.45704593106205
104,exercise,7,3,-4.8979571877318255,311.91292811608264
105,exercise,7,4,11.196025995543167,331.13418749021264
106,exercise,7,5,12.972282839811875,278.272423011423
107,exercise,7,6,121.09595143122914,337.13026186936685
108,exercise,7,7,-22.733892786042983,299.5275559457214
109,exercise,7,8,202.25093581202478,349.15898040567583
110,exercise,7,9,29.440088470187316,322.4694956756116
111,exercise,7,10,193.20270572288808,352.2217503740952
112,exercise,7,11,175.14881349105158,350.62582716909975
113,exercise,7,12,281.9853722094075,331.32848455008525
114,exercise,7,13,203.59510110464578,270.24735414636694
115,exercise,7,14,385.9007439768987,295.79416661591733
116,exercise,7,15,370.6672743166236,279.2846584532468
117,exercise,7,16,499.4244882826989,241.79608929130708
118,exercise,7,17,496.4561625404245,250.47926870911053
119,exercise,8,1,-12.546396227194224,320.7660778699845
120,exercise,8,2,-9.264585908159658,322.53074764939885
121,exercise,8,3,-8.11674757598062,315.75461202846606
122,exercise,8,4,-15.615325384394707,331.6582762584389
123,exercise,8,5,-17.052503636753524,302.064222577951
124,exercise,8,6,99.71047421237482,347.0098231258265
125,exercise,8,7,-20.292224827435323,304.70317203377294
126,exercise,8,8,199.33191406974456,352.3948822361324
127,exercise,8,9,33.259396878477375,325.31037124599806
128,exercise,8,10,191.521952371569,353.62866102188895
129,exercise,8,11,178.62864463194896,357.2625120710955
130,exercise,8,12,279.27106455454845,342.50635227806583
131,exercise,8,13,204.88875210815795,285.74670600466317
132,exercise,8,14,390.0456337405242,291.6600719698288
133,exercise,8,15,372.0586510723352,276.72821724600675
134,exercise,8,16,499.27871839936483,245.92915694272864
135,exercise,8,17,499.2040839039608,257.36731718271506
136,exercise,9,1,-6.018263140488803,319.00039339384153
137,exercise,9,2,-10.078581405322701,320.89570383186594
138,exercise,9,3,-9.268608659240542,315.75638599013433
139,exercise,9,4,-12.405976881259274,331.5560267391077
140,exercise,9,5,-14.704807632401012,303.1271056449227
141,exercise,9,6,95.38164121814582,348.18812312952394
142,exercise,9,7,-26.570842075064913,313.8668931990795
143,exercise,9,8,197.8103049077337,355.4461846638363
144,exercise,9,9,39.50767335976621,330.1606380063335
145,exercise,9,10,193.44380998469956,355.8984864368736
146,exercise,9,11,180.42924920599964,362.4513445134152
147,exercise,9,12,282.7198125912811,348.4298468167107
148,exercise,9,13,167.4855086782212,286.65066249652006
149,exercise,9,14,380.9362276796064,298.14692779744917
150,exercise,9,15,368.2660413566612,283.9544698124739
151,exercise,9,16,499.084316898878,269.62768894526897
152,exercise,9,17,493.0025027130761,275.0120004088948
153,exercise,10,1,-15.662117796764884,315.18341778115865
154,exercise,10,2,-13.67780193023229,322.01901170352517
155,exercise,10,3,-13.762412141975382,316.0315243863316
156,exercise,10,4,-14.536402218419651,329.7548860749582
157,exercise,10,5,-16.746493376327198,306.24677220537825
158,exercise,10,6,86.9406142645137,328.97125380076386
159,exercise,10,7,-19.637060420095747,313.9485001935725
160,exercise,10,8,183.87277710685393,349.32033275442825
161,exercise,10,9,80.66738864434579,341.04079817875987
162,exercise,10,10,197.3167568852003,362.3696240125626
163,exercise,10,11,185.59729239353442,365.393175154858
164,exercise,10,12,242.36871102443436,306.46462761214156
165,exercise,10,13,180.42940134110722,275.0413402735789
166,exercise,10,14,362.2606978147603,290.9636812273803
167,exercise,10,15,367.98900298619486,286.54985797431794
168,exercise,10,16,495.63596550010436,286.0381971329517
169,exercise,10,17,493.65400772773904,287.8376501546405
170,exercise,11,1,-15.527918331700901,318.5438042281731
171,exercise,11,2,-16.924149148188288,326.2236937117205
172,exercise,11,3,-15.920166106181613,320.8192284123138
173,exercise,11,4,-15.15047520487528,329.6961156084702
174,exercise,11,5,-17.89734928119784,312.2194177164532
175,exercise,11,6,47.98985285999513,349.523034722343
176,exercise,11,7,-8.77633273070927,324.12263832007324
177,exercise,11,8,155.35585941122267,355.0331642473726
178,exercise,11,9,68.77185493265486,344.30874830895914
179,exercise,11,10,178.98345222812733,366.79702300005874
180,exercise,11,11,184.24801546317534,367.49838474333154
181,exercise,11,12,202.97992921370783,314.77571143339367
182,exercise,11,13,186.5629781389095,294.10670087172883
183,exercise,11,14,369.40252898354913,292.33356433350156
184,exercise,11,15,367.84432963023204,289.8479993518583
185,exercise,11,16,492.3429481212039,290.6934198664132
186,exercise,11,17,490.88879186251046,292.18180463149446
187,exercise,12,1,-16.677280052479368,299.69824130391754
188,exercise,12,2,-19.84782595309023,301.95896955800214
189,exercise,12,3,-20.660739525135618,301.46141171189885
190,exercise,12,4,-23.684124592857476,308.83978692885233
191,exercise,12,5,-22.428575283695753,308.6136509952673
192,exercise,12,6,15.588317327754082,311.24356887919333
193,exercise,12,7,-7.469421522553668,292.93793200384533
194,exercise,12,8,88.99039339241006,335.3112507503654
195,exercise,12,9,86.08095616190653,351.73194800294056
196,exercise,12,10,192.42723232914506,366.2272653388552
197,exercise,12,11,193.20045833417853,371.1784712827551
198,exercise,12,12,183.44414051633208,300.0935550681201
199,exercise,12,13,201.05141568962122,286.63187617448494
200,exercise,12,14,364.74271961065006,277.9907223164106
201,exercise,12,15,364.28453480808247,289.3340765394453
202,exercise,12,16,488.0189416811799,291.95652101512474
203,exercise,12,17,486.9358157828583,293.0961432170231
204,exercise,13,1,-17.726883251518455,296.0465678021743
205,exercise,13,2,-19.91613054134018,300.7882241841679
206,exercise,13,3,-21.24520457463024,299.96482288386085
207,exercise,13,4,-24.427758281945476,309.1828282957353
208,exercise,13,5,-24.240990703820476,309.0230745515207
209,exercise,13,6,18.576443725948167,295.83113906112703
210,exercise,13,7,-15.676002842028701,317.0650057378484
211,exercise,13,8,103.46600744773798,298.6556366238668
212,exercise,13,9,97.23072289713059,355.031677110158
213,exercise,13,10,180.41335838838572,290.6936679491752
214,exercise,13,11,190.31596582791926,374.3968475953508
215,exercise,13,12,177.10911306500083,299.3242565401413
216,exercise,13,13,173.2646025252979,297.20302114507933
217,exercise,13,14,363.9407271659693,271.7888464640934
218,exercise,13,15,369.158530758821,293.7511173919474
219,exercise,13,16,485.41014447764053,286.95295100222717
220,exercise,13,17,482.7047818916842,291.59598267689046
221,exercise,14,1,-15.942926604952941,238.96623573218264
222,exercise,14,2,-22.19606529711262,260.03813813683183
223,exercise,14,3,-23.16024463325297,253.60375759065283
224,exercise,14,4,-30.090031383299333,272.0759477169317
225,exercise,14,5,-29.87120133125464,256.73974663749306
226,exercise,14,6,34.216400055927764,210.36093119258072
227,exercise,14,7,18.115746019855806,257.4593878323357
228,exercise,14,8,123.57816339600335,164.9457140542351
229,exercise,14,9,99.30068267912823,262.01736552147133
230,exercise,14,10,193.2813935322295,187.4760521971569
231,exercise,14,11,144.52587795540558,263.61471945034106
232,exercise,14,12,184.74487904625053,221.40570353824472
233,exercise,14,13,183.02444092951472,237.89285094807036
234,exercise,14,14,361.0935376447457,213.75469386179356
235,exercise,14,15,357.65078264457185,270.36896499599806
236,exercise,14,16,492.4982930078705,176.1767496563544
237,exercise,14,17,484.92286795324674,282.2870892565075
238,exercise,15,1,-9.952362920834686,237.08219056671075
239,exercise,15,2,-16.49238427951711,232.377871914802
240,exercise,15,3,-17.797407382319875,247.34170178793588
241,exercise,15,4,-25.349610099452896,248.83828127039035
242,exercise,15,5,-18.577546705478024,234.0148545161122
243,exercise,15,6,34.61445884817786,217.08522193415925
244,exercise,15,7,40.767889277517625,248.06044444740482
245,exercise,15,8,134.615564091623,182.87995914042926
246,exercise,15,9,120.5987019071947,207.1887383747738
247,exercise,15,10,204.3066270698072,189.00226006794614
248,exercise,15,11,204.5204508835201,192.1966464376131
249,exercise,15,12,188.33911069422874,230.33720768374164
250,exercise,15,13,191.83001170172537,237.9821634611202
251,exercise,15,14,352.94489603014307,225.70202510978172
252,exercise,15,15,361.028990250313,259.6106459993562
253,exercise,15,16,494.35557198453733,184.68593062165056
254,exercise,15,17,478.33484457225404,211.1333671179009
255,exercise,16,1,-5.733628541850195,236.79119560394628
256,exercise,16,2,-12.860840477646283,237.45624635692164
257,exercise,16,3,-15.371896987145309,248.52469531358747
258,exercise,16,4,-22.815568963568715,284.26554316667244
