,action,frame_number,input number,x_inputs,y_inputs
0,falling,1,1,27.495674110661632,478.11256459667317
1,falling,1,2,19.57604507310454,482.779537617231
2,falling,1,3,21.896533767971867,473.8158605358914
3,falling,1,4,14.89138843751449,514.624612039341
4,falling,1,5,18.78402596765173,476.0901109997042
5,falling,1,6,47.55297007122097,548.126294873074
6,falling,1,7,80.17599564277808,488.3648640859897
7,falling,1,8,123.53928880097251,564.6936996901752
8,falling,1,9,137.51554627800556,485.815402500348
9,falling,1,10,187.685023797372,526.1943057597613
10,falling,1,11,193.8332432596903,467.46493673005983
11,falling,1,12,191.48842967228651,551.184483041742
12,falling,1,13,189.58800748830734,498.24001524655483
13,falling,1,14,299.0540938561324,537.0550904135927
14,falling,1,15,294.8750953504523,509.27652269800944
15,falling,1,16,389.50092315673834,546.6154136742674
16,falling,1,17,382.1793250018836,526.7399818063578
17,falling,2,1,28.690964333735167,476.47789902039256
18,falling,2,2,19.528136437300052,482.0131929733174
19,falling,2,3,21.29920031267387,473.7846330332597
20,falling,2,4,13.680921379111995,513.8880903418186
21,falling,2,5,17.74654671417146,474.92702696530483
22,falling,2,6,46.848715603882205,547.0115085168511
23,falling,2,7,81.34425471727502,489.3975191180053
24,falling,2,8,120.96805742303414,564.7387375863464
25,falling,2,9,138.99701375989605,486.37252569729606
26,falling,2,10,187.01305491280488,524.6621696030377
27,falling,2,11,194.03674569964764,470.7194549628515
28,falling,2,12,190.98979870714138,549.3373865752019
29,falling,2,13,190.1874782211349,500.67118281510994
30,falling,2,14,299.5887122451375,540.540424848187
31,falling,2,15,295.3218971444874,506.1469943380037
32,falling,2,16,389.3918765829296,546.541972340879
33,falling,2,17,382.0973377623969,527.9650834727128
34,falling,3,1,29.767936910295347,475.3743154275125
35,falling,3,2,15.884559699265116,480.89337933036956
36,falling,3,3,19.35348193794047,474.6033809126618
37,falling,3,4,15.545195854028538,514.3452395840583
38,falling,3,5,21.818418248117148,482.6385654372999
39,falling,3,6,48.05683000151411,544.8508047261057
40,falling,3,7,82.18123144495028,490.0295170909312
41,falling,3,8,120.97409121006817,563.8446445932367
42,falling,3,9,140.929508945001,486.647874454082
43,falling,3,10,190.10899348499515,520.295625954269
44,falling,3,11,195.70950109102608,471.9208735612559
45,falling,3,12,198.64580646820522,547.1917330395671
46,falling,3,13,192.23011684700717,501.6160315022968
47,falling,3,14,299.10341025106277,537.2371790828578
48,falling,3,15,295.56623211246574,507.6074042033512
49,falling,3,16,389.9411919704177,546.81099664395
50,falling,3,17,382.1044242700413,530.8236748710242
51,falling,4,1,29.825251095372778,476.5730622085537
52,falling,4,2,19.287878087437118,480.58427585525345
53,falling,4,3,21.464234304003618,472.40832084536817
54,falling,4,4,16.775014633948444,513.9823033390172
55,falling,4,5,18.74887936193087,474.7343529784069
56,falling,4,6,48.46892257826265,544.4033473637162
57,falling,4,7,82.38131016581278,489.47783540245683
58,falling,4,8,122.40184116080538,562.4372269050581
59,falling,4,9,141.95087919603117,488.4343816336651
60,falling,4,10,188.78645650710834,520.0174568703021
61,falling,4,11,195.72909459869658,472.1038763985071
62,falling,4,12,192.72567930136663,548.564935696948
63,falling,4,13,191.95705062911492,500.6500284921353
64,falling,4,14,299.24136402345204,535.2397743683881
65,falling,4,15,295.1463744902116,511.9538862402561
66,falling,4,16,389.87227272916624,546.8386388409111
67,falling,4,17,382.4342722001345,531.4168434737785
68,falling,5,1,34.09224762053447,472.4627862263363
69,falling,5,2,20.279570106936493,479.73014814551
70,falling,5,3,21.779615815386222,471.1735334162723
71,falling,5,4,17.23580436819739,513.0250736228077
72,falling,5,5,20.572172951627557,472.32316660721744
73,falling,5,6,53.616971884707674,536.7747018385039
74,falling,5,7,78.59820312137774,490.1020225066119
75,falling,5,8,125.78057512685172,566.5005853393826
76,falling,5,9,139.971589221445,486.6602636392504
77,falling,5,10,184.79588539734794,521.2276847856348
78,falling,5,11,198.6536903268152,477.96385062032925
79,falling,5,12,200.44066658359608,541.9980864323062
80,falling,5,13,201.98886950574928,504.83664327846606
81,falling,5,14,300.50541150463795,533.513652572122
82,falling,5,15,298.80726432234314,507.2867942759083
83,falling,5,16,389.9525654280575,546.1877128754002
84,falling,5,17,383.36911391079957,532.3220906756768
85,falling,6,1,29.468548602095698,466.7798993422884
86,falling,6,2,18.273110092570594,474.1590378385344
87,falling,6,3,18.755763475548267,466.71345802086233
88,falling,6,4,17.568859360692056,505.5022551062909
89,falling,6,5,19.44338224054444,483.88038006551017
90,falling,6,6,49.27072655199544,536.6749392639024
91,falling,6,7,65.7135568952702,519.574964221708
92,falling,6,8,122.91092190615149,560.5538811290716
93,falling,6,9,136.508983306432,488.6608913905902
94,falling,6,10,186.013152351719,524.7840084849063
95,falling,6,11,198.82405312195732,479.4005284383727
96,falling,6,12,199.40978822793028,542.259975169974
97,falling,6,13,195.61316357168317,495.3245547831988
98,falling,6,14,299.1412438412449,528.2447760567102
99,falling,6,15,294.1698369781766,510.3773957318346
100,falling,6,16,388.6779052496664,545.48107597504
101,falling,6,17,384.45711492430917,540.5526441136553
102,falling,7,1,33.163128634942396,466.4216855055505
103,falling,7,2,19.479047735650038,473.2552233995467
