,action,frame_number,input number,x_inputs,y_inputs
0,movement,1,1,0.0,0.0
1,movement,1,2,0.0,0.0
2,movement,1,3,0.0,0.0
3,movement,1,4,0.0,0.0
4,movement,1,5,0.0,0.0
5,movement,1,6,0.0,0.0
6,movement,1,7,0.0,0.0
7,movement,1,8,0.0,0.0
8,movement,1,9,0.0,0.0
9,movement,1,10,0.0,0.0
10,movement,1,11,0.0,0.0
11,movement,1,12,0.0,0.0
12,movement,1,13,0.0,0.0
13,movement,1,14,0.0,0.0
14,movement,1,15,0.0,0.0
15,movement,1,16,0.0,0.0
16,movement,1,17,0.0,0.0
17,movement,2,1,0.0,0.0
18,movement,2,2,0.0,0.0
19,movement,2,3,0.0,0.0
20,movement,2,4,0.0,0.0
21,movement,2,5,0.0,0.0
22,movement,2,6,0.0,0.0
23,movement,2,7,0.0,0.0
24,movement,2,8,0.0,0.0
25,movement,2,9,0.0,0.0
26,movement,2,10,0.0,0.0
27,movement,2,11,0.0,0.0
28,movement,2,12,0.0,0.0
29,movement,2,13,0.0,0.0
30,movement,2,14,0.0,0.0
31,movement,2,15,0.0,0.0
32,movement,2,16,0.0,0.0
33,movement,2,17,0.0,0.0
34,movement,3,1,0.0,0.0
35,movement,3,2,0.0,0.0
36,movement,3,3,0.0,0.0
37,movement,3,4,0.0,0.0
38,movement,3,5,0.0,0.0
39,movement,3,6,0.0,0.0
40,movement,3,7,0.0,0.0
41,movement,3,8,0.0,0.0
42,movement,3,9,0.0,0.0
43,movement,3,10,0.0,0.0
44,movement,3,11,0.0,0.0
45,movement,3,12,0.0,0.0
46,movement,3,13,0.0,0.0
47,movement,3,14,0.0,0.0
48,movement,3,15,0.0,0.0
49,movement,3,16,0.0,0.0
50,movement,3,17,0.0,0.0
51,movement,4,1,0.0,0.0
52,movement,4,2,0.0,0.0
53,movement,4,3,0.0,0.0
54,movement,4,4,0.0,0.0
55,movement,4,5,0.0,0.0
56,movement,4,6,0.0,0.0
57,movement,4,7,0.0,0.0
58,movement,4,8,0.0,0.0
59,movement,4,9,0.0,0.0
60,movement,4,10,0.0,0.0
61,movement,4,11,0.0,0.0
62,movement,4,12,0.0,0.0
63,movement,4,13,0.0,0.0
64,movement,4,14,0.0,0.0
65,movement,4,15,0.0,0.0
66,movement,4,16,0.0,0.0
67,movement,4,17,0.0,0.0
68,movement,5,1,0.0,0.0
69,movement,5,2,0.0,0.0
70,movement,5,3,0.0,0.0
71,movement,5,4,0.0,0.0
72,movement,5,5,0.0,0.0
73,movement,5,6,0.0,0.0
74,movement,5,7,0.0,0.0
75,movement,5,8,0.0,0.0
76,movement,5,9,0.0,0.0
77,movement,5,10,0.0,0.0
78,movement,5,11,0.0,0.0
79,movement,5,12,0.0,0.0
80,movement,5,13,0.0,0.0
81,movement,5,14,0.0,0.0
82,movement,5,15,0.0,0.0
83,movement,5,16,0.0,0.0
84,movement,5,17,0.0,0.0
85,movement,6,1,0.0,0.0
86,movement,6,2,0.0,0.0
87,movement,6,3,0.0,0.0
88,movement,6,4,0.0,0.0
89,movement,6,5,0.0,0.0
90,movement,6,6,0.0,0.0
91,movement,6,7,0.0,0.0
92,movement,6,8,0.0,0.0
