,action,frame_number,input number,x_inputs,y_inputs
0,sitting,1,1,124.72038767104334,513.8319067328438
1,sitting,1,2,111.78593689327072,520.911676623508
2,sitting,1,3,111.57120158481315,514.0459008843437
3,sitting,1,4,104.84588985273322,549.4017978659717
4,sitting,1,5,117.07009923917958,511.0893409236237
5,sitting,1,6,141.32790087238618,576.561881492292
6,sitting,1,7,161.5819954801384,538.7827931427478
7,sitting,1,8,185.93233465087167,638.595242574645
8,sitting,1,9,223.96344917818067,551.8280386128245
9,sitting,1,10,194.38896224477526,641.2383980528018
10,sitting,1,11,246.78734652012676,555.4183810431601
11,sitting,1,12,271.09163103188536,612.1250218856574
12,sitting,1,13,267.8452921338181,557.3545582522794
13,sitting,1,14,379.50551924436667,642.4011747024638
14,sitting,1,15,358.77232062003026,528.3473528413837
15,sitting,1,16,478.1977457957735,661.4827464895949
16,sitting,1,17,456.59138393685095,525.765340078647
17,sitting,2,1,125.19566318047862,511.0955756172571
18,sitting,2,2,113.44264198835243,514.0512914169074
19,sitting,2,3,110.59748256241888,508.9971971405641
20,sitting,2,4,107.16336666299611,541.5528009835224
21,sitting,2,5,116.63633538990418,508.3729950834754
22,sitting,2,6,136.41058041716897,590.1325897012894
23,sitting,2,7,148.39836233801233,540.5170697252576
24,sitting,2,8,176.63933038004075,643.2282099054758
25,sitting,2,9,207.18434047981967,538.1434927007934
26,sitting,2,10,188.0478731602519,641.5921713780189
27,sitting,2,11,237.99983016107487,525.6148537548719
28,sitting,2,12,269.14023628574455,618.5855476362402
29,sitting,2,13,267.1119880110291,567.4830012332092
30,sitting,2,14,364.2745143086691,637.7227931882862
31,sitting,2,15,362.22820746085057,551.5441391568938
32,sitting,2,16,464.7116734083046,659.9881341675076
33,sitting,2,17,455.6117982043711,522.5748921077873
34,sitting,3,1,128.75997209407456,501.8282296769072
35,sitting,3,2,114.882507692105,505.11730712346883
36,sitting,3,3,113.54986807712817,496.7149152522098
37,sitting,3,4,107.18091653433328,536.1249350227067
38,sitting,3,5,115.64964141619312,506.1250091076959
39,sitting,3,6,138.0513059350079,572.9417952981452
40,sitting,3,7,153.93807974342778,518.2646658372773
41,sitting,3,8,185.37112725594633,638.1046763719588
42,sitting,3,9,215.68598308619832,540.0315384556827
43,sitting,3,10,227.6334806790338,642.2069435714347
44,sitting,3,11,235.01797729854417,529.5782321173789
45,sitting,3,12,270.07603563257777,604.6152888852398
46,sitting,3,13,266.6121026104211,539.1386580095525
47,sitting,3,14,372.3157213703461,628.946553593489
48,sitting,3,15,365.16395824953076,525.3025195964991
49,sitting,3,16,467.4081466176744,660.4486097577951
50,sitting,3,17,462.90296288555385,519.0297554542865
51,sitting,4,1,127.83294360786235,490.9447847973796
52,sitting,4,2,115.50671404830074,496.34525256592343
53,sitting,4,3,112.76921122293444,491.2117245680505
54,sitting,4,4,106.17818181521815,524.4284088415133
55,sitting,4,5,116.22321997622709,490.046424101084
56,sitting,4,6,135.7260580091165,565.621820462573
57,sitting,4,7,154.69939913877042,512.0814266077394
58,sitting,4,8,184.1340570987509,637.6805675481104
59,sitting,4,9,218.7331216059382,525.9447503886404
60,sitting,4,10,223.31419223140188,633.668501754115
61,sitting,4,11,224.63613968574685,538.8274589147759
62,sitting,4,12,272.226064410337,593.1579345159382
63,sitting,4,13,266.27618489704076,574.016359664815
64,sitting,4,14,370.6014867493944,614.7291167329308
65,sitting,4,15,361.5165846284136,607.1348847047258
66,sitting,4,16,464.00677304593324,654.5713048310481
67,sitting,4,17,444.97212622215204,641.1395902569947
68,sitting,5,1,126.46487680316326,485.3004927943172
69,sitting,5,2,114.14658743125396,488.4470046283408
70,sitting,5,3,118.45073586755409,480.1087406217919
71,sitting,5,4,104.34878635123505,515.8459486249826
72,sitting,5,5,118.55737205075228,480.69976008018034
73,sitting,5,6,135.90887143279397,561.225283480434
74,sitting,5,7,156.5597194592394,496.37794545604817
75,sitting,5,8,189.64994073975336,630.4054759817824
76,sitting,5,9,211.81796563485258,518.5864284999652
77,sitting,5,10,229.55877196541175,636.7262008089265
78,sitting,5,11,234.24483347363574,502.5410172562291
79,sitting,5,12,264.1341646913251,587.6514524871894
80,sitting,5,13,264.13489412483193,539.5156581683254
81,sitting,5,14,364.2406234967603,604.8964794813127
82,sitting,5,15,360.95142715408826,549.737769723735
83,sitting,5,16,455.9717692890224,641.7789124486707
84,sitting,5,17,454.2000007063416,522.0679744049277
85,sitting,6,1,118.94055114655538,476.7920815652622
86,sitting,6,2,106.9744624016193,482.6566822757169
87,sitting,6,3,109.97227382942903,470.1678317267539
88,sitting,6,4,103.0936683179363,513.1568497485732
89,sitting,6,5,108.80408606826376,471.67029977641283
90,sitting,6,6,131.2362154725751,555.1900905277787
91,sitting,6,7,156.35410580507727,493.54257290506683
92,sitting,6,8,187.36965994452865,612.9104005945286
93,sitting,6,9,205.15464624240775,505.29428290896
94,sitting,6,10,243.81321145801942,640.5462981226184
95,sitting,6,11,223.21037496232847,521.9002772545762
96,sitting,6,12,268.002620549867,605.10028456792
97,sitting,6,13,265.4189015283783,523.1753653885262
98,sitting,6,14,349.1689637860488,589.0548131726101
99,sitting,6,15,371.5741618804479,504.1734466892574
100,sitting,6,16,452.67269123201913,640.5971494814867
101,sitting,6,17,466.91968832949857,517.4927328742692
102,sitting,7,1,122.13256269958679,460.25892227954483
103,sitting,7,2,105.20880203926245,465.9735807491039
104,sitting,7,3,106.37709167661583,459.8780584866326
105,sitting,7,4,98.46613467977734,491.21547639502717
106,sitting,7,5,101.57675768572075,464.2285570854068
107,sitting,7,6,126.99416638835602,534.112854683585
108,sitting,7,7,141.9290124910168,493.90473023820294
109,sitting,7,8,177.6720747678853,597.8098220655276
110,sitting,7,9,197.48243745073722,482.4052289865065
111,sitting,7,10,250.13757179328172,615.9870341838335
112,sitting,7,11,203.67295862305414,497.53942680783683
113,sitting,7,12,262.56881532753965,558.551222497477
114,sitting,7,13,263.21937085612944,544.4366971634013
115,sitting,7,14,367.26387816296136,502.4215106921631
116,sitting,7,15,366.90248121493653,564.543208948488
117,sitting,7,16,469.3344242990194,517.1481941749896
118,sitting,7,17,447.3121135949381,620.268704216836
119,sitting,8,1,119.39458071654911,459.42755514370043
120,sitting,8,2,104.52033294768292,458.7854296168134
121,sitting,8,3,107.60115309355875,452.23282098239144
122,sitting,8,4,93.49777883874911,485.87543309133144
123,sitting,8,5,99.29558683219933,463.58795030079864
124,sitting,8,6,122.9064053951456,528.1066323601058
125,sitting,8,7,139.75673777413297,490.42697965966033
126,sitting,8,8,182.97250007663354,589.096829216836
127,sitting,8,9,202.06223530302418,487.10352432488867
128,sitting,8,10,247.709239767284,603.1747049106522
129,sitting,8,11,212.63072435509204,501.0234887137976
130,sitting,8,12,251.8923094152343,566.252631716314
131,sitting,8,13,263.0584078372763,538.5131822343924
132,sitting,8,14,366.7281751321402,553.3015744351598
133,sitting,8,15,365.73357828293075,552.551724916046
134,sitting,8,16,447.44296744598483,618.2742574645044
135,sitting,8,17,446.7234919969689,614.9293405919404
136,sitting,9,1,113.28394465347426,452.9707180099657
137,sitting,9,2,101.0954504267752,451.3476844566702
138,sitting,9,3,103.81128486610662,446.1640756857687
139,sitting,9,4,93.4223252587927,481.3044398930131
140,sitting,9,5,98.09548941139651,450.69114090339644
141,sitting,9,6,120.2026086462004,522.818525352563
142,sitting,9,7,142.92848105954135,466.3116822104677
143,sitting,9,8,184.20071655635667,580.6712317519836
144,sitting,9,9,200.75411108905556,476.9332243445721
145,sitting,9,10,244.8877098015579,589.3658188987681
146,sitting,9,11,209.9472923165613,474.33396643147967
147,sitting,9,12,252.80067715517492,548.5079323953404
148,sitting,9,13,256.98193535960394,508.8835310564275
149,sitting,9,14,367.2219975412069,501.8151420474318
150,sitting,9,15,367.00893707728176,535.3237364499234
151,sitting,9,16,470.12160937934675,515.1050307649812
152,sitting,9,17,438.8021490623407,592.7201153387737
153,sitting,10,1,107.13478020461449,439.2919949062152
154,sitting,10,2,95.90852109190266,445.931314922919
155,sitting,10,3,98.00811224238456,437.4347929752749
156,sitting,10,4,92.52430160250792,471.8481635622564
157,sitting,10,5,97.5506093735511,441.8677451084876
158,sitting,10,6,119.52263093489923,511.0661686342915
159,sitting,10,7,132.264878360737,472.78782222212556
160,sitting,10,8,180.89114854173067,569.9540771620311
161,sitting,10,9,193.9388426828809,456.1213703941396
162,sitting,10,10,245.45074689282157,581.001581476632
163,sitting,10,11,208.49609590071955,462.35366311529964
164,sitting,10,12,248.77781180316688,544.5472849822522
165,sitting,10,13,255.65527545238461,502.0445011665667
166,sitting,10,14,365.5015423602096,515.5119388299955
167,sitting,10,15,368.0369581454586,492.60952548088636
168,sitting,10,16,462.1862829191395,519.0361624464957
169,sitting,10,17,471.1456294300295,513.8464477810934
170,sitting,11,1,110.36250581373447,436.78684022219517
