,action,frame_number,input number,x_inputs,y_inputs
0,stretching,1,1,0.0,0.0
1,stretching,1,2,0.0,0.0
2,stretching,1,3,0.0,0.0
3,stretching,1,4,0.0,0.0
4,stretching,1,5,0.0,0.0
5,stretching,1,6,0.0,0.0
6,stretching,1,7,0.0,0.0
7,stretching,1,8,0.0,0.0
8,stretching,1,9,0.0,0.0
9,stretching,1,10,0.0,0.0
10,stretching,1,11,0.0,0.0
11,stretching,1,12,0.0,0.0
12,stretching,1,13,0.0,0.0
13,stretching,1,14,0.0,0.0
14,stretching,1,15,0.0,0.0
15,stretching,1,16,0.0,0.0
16,stretching,1,17,0.0,0.0
17,stretching,2,1,0.0,0.0
18,stretching,2,2,0.0,0.0
19,stretching,2,3,0.0,0.0
20,stretching,2,4,0.0,0.0
21,stretching,2,5,0.0,0.0
22,stretching,2,6,0.0,0.0
23,stretching,2,7,0.0,0.0
24,stretching,2,8,0.0,0.0
25,stretching,2,9,0.0,0.0
26,stretching,2,10,0.0,0.0
27,stretching,2,11,0.0,0.0
28,stretching,2,12,0.0,0.0
29,stretching,2,13,0.0,0.0
30,stretching,2,14,0.0,0.0
31,stretching,2,15,0.0,0.0
32,stretching,2,16,0.0,0.0
33,stretching,2,17,0.0,0.0
34,stretching,3,1,0.0,0.0
35,stretching,3,2,0.0,0.0
36,stretching,3,3,0.0,0.0
37,stretching,3,4,0.0,0.0
38,stretching,3,5,0.0,0.0
39,stretching,3,6,0.0,0.0
40,stretching,3,7,0.0,0.0
41,stretching,3,8,0.0,0.0
42,stretching,3,9,0.0,0.0
43,stretching,3,10,0.0,0.0
44,stretching,3,11,0.0,0.0
45,stretching,3,12,0.0,0.0
46,stretching,3,13,0.0,0.0
47,stretching,3,14,0.0,0.0
48,stretching,3,15,0.0,0.0
49,stretching,3,16,0.0,0.0
50,stretching,3,17,0.0,0.0
51,stretching,4,1,0.0,0.0
52,stretching,4,2,0.0,0.0
53,stretching,4,3,0.0,0.0
54,stretching,4,4,0.0,0.0
55,stretching,4,5,0.0,0.0
56,stretching,4,6,0.0,0.0
57,stretching,4,7,0.0,0.0
58,stretching,4,8,0.0,0.0
59,stretching,4,9,0.0,0.0
60,stretching,4,10,0.0,0.0
61,stretching,4,11,0.0,0.0
62,stretching,4,12,0.0,0.0
63,stretching,4,13,0.0,0.0
64,stretching,4,14,0.0,0.0
65,stretching,4,15,0.0,0.0
66,stretching,4,16,0.0,0.0
67,stretching,4,17,0.0,0.0
68,stretching,5,1,0.0,0.0
69,stretching,5,2,0.0,0.0
70,stretching,5,3,0.0,0.0
71,stretching,5,4,0.0,0.0
72,stretching,5,5,0.0,0.0
73,stretching,5,6,0.0,0.0
74,stretching,5,7,0.0,0.0
75,stretching,5,8,0.0,0.0
76,stretching,5,9,0.0,0.0
77,stretching,5,10,0.0,0.0
78,stretching,5,11,0.0,0.0
79,stretching,5,12,0.0,0.0
80,stretching,5,13,0.0,0.0
81,stretching,5,14,0.0,0.0
82,stretching,5,15,0.0,0.0
83,stretching,5,16,0.0,0.0
84,stretching,5,17,0.0,0.0
85,stretching,6,1,0.0,0.0
86,stretching,6,2,0.0,0.0
87,stretching,6,3,0.0,0.0
88,stretching,6,4,0.0,0.0
89,stretching,6,5,0.0,0.0
90,stretching,6,6,0.0,0.0
91,stretching,6,7,0.0,0.0
92,stretching,6,8,0.0,0.0
93,stretching,6,9,0.0,0.0
94,stretching,6,10,0.0,0.0
95,stretching,6,11,0.0,0.0
96,stretching,6,12,0.0,0.0
97,stretching,6,13,0.0,0.0
98,stretching,6,14,0.0,0.0
99,stretching,6,15,0.0,0.0
100,stretching,6,16,0.0,0.0
101,stretching,6,17,0.0,0.0
102,stretching,7,1,0.0,0.0
103,stretching,7,2,0.0,0.0
104,stretching,7,3,0.0,0.0
105,stretching,7,4,0.0,0.0
106,stretching,7,5,0.0,0.0
107,stretching,7,6,0.0,0.0
108,stretching,7,7,0.0,0.0
109,stretching,7,8,0.0,0.0
110,stretching,7,9,0.0,0.0
111,stretching,7,10,0.0,0.0
112,stretching,7,11,0.0,0.0
113,stretching,7,12,0.0,0.0
114,stretching,7,13,0.0,0.0
115,stretching,7,14,0.0,0.0
116,stretching,7,15,0.0,0.0
117,stretching,7,16,0.0,0.0
118,stretching,7,17,0.0,0.0
119,stretching,8,1,0.0,0.0
120,stretching,8,2,0.0,0.0
121,stretching,8,3,0.0,0.0
122,stretching,8,4,0.0,0.0
123,stretching,8,5,0.0,0.0
124,stretching,8,6,0.0,0.0
125,stretching,8,7,0.0,0.0
126,stretching,8,8,0.0,0.0
127,stretching,8,9,0.0,0.0
128,stretching,8,10,0.0,0.0
129,stretching,8,11,0.0,0.0
130,stretching,8,12,0.0,0.0
131,stretching,8,13,0.0,0.0
132,stretching,8,14,0.0,0.0
133,stretching,8,15,0.0,0.0
134,stretching,8,16,0.0,0.0
135,stretching,8,17,0.0,0.0
136,stretching,9,1,0.0,0.0
137,stretching,9,2,0.0,0.0
138,stretching,9,3,0.0,0.0
139,stretching,9,4,0.0,0.0
140,stretching,9,5,0.0,0.0
141,stretching,9,6,0.0,0.0
142,stretching,9,7,0.0,0.0
143,stretching,9,8,0.0,0.0
144,stretching,9,9,0.0,0.0
145,stretching,9,10,0.0,0.0
146,stretching,9,11,0.0,0.0
147,stretching,9,12,0.0,0.0
148,stretching,9,13,0.0,0.0
149,stretching,9,14,0.0,0.0
150,stretching,9,15,0.0,0.0
151,stretching,9,16,0.0,0.0
152,stretching,9,17,0.0,0.0
